player,position,team_name,player_game_count,grades_defense,snap_counts_defense,snap_counts_dl,,Avg Grade
Ahkello Witherspoon,CB,PIT,10,75.8,410,0,,
Abdullah Anderson,DI,GB,3,58.6,49,49,,
Cooper Kupp,WR,LA,1,70.2,1,0,,
Chauncey Rivers,ED,GB,4,56,54,54,,
Rashan Gary,ED,GB,17,89.8,722,701,,68.23076923
Duke Riley,LB,MIA,15,67.2,227,43,,
Alex Anzalone,LB,DET,14,35.4,827,39,,
Jack Heflin,DI,GB,3,48,17,17,,
Fabian Moreau,CB,ATL,16,57.7,1036,7,,
Tyler Lancaster,DI,GB,17,56.3,347,347,,
Shaquill Griffin,CB,JAX,14,72,872,15,,
Jourdan Lewis,CB,DAL,17,61.3,842,23,,
John Johnson III,S,CLV,15,68.7,903,9,,
Kingsley Keke,DI,GB,12,63.4,393,392,,
Cameron Sutton,CB,PIT,17,59.3,1153,29,,
Rasul Douglas,CB,GB,13,74.5,734,4,,
La'Darius Hamilton,ED,GB,5,62.9,64,64,,
Tipa Galeai,ED,GB,7,77.1,152,147,,
T.J. Slaton,DI,GB,18,52.8,266,266,,
Eddie Jackson,S,CHI,14,59,787,60,,
Rayshawn Jenkins,S,JAX,14,56.9,836,55,,
Jalen Reeves-Maybin,LB,DET,15,55.8,615,33,,
Jonathan Garvin,ED,GB,16,59.6,396,385,,
Chris Smith,ED,HST,4,66.2,90,89,,
Xavier Williams,DI,HST,1,63.5,27,27,,
Maliek Collins,DI,HST,15,64,628,628,,
Damontae Kazee,S,DAL,18,61.8,930,4,,
Desmond King II,CB,HST,16,53,929,31,,
Corn Elder,CB,WAS,2,63.4,19,0,,
Jayon Brown,LB,TEN,11,53,444,34,,
Nate Hairston,CB,DEN,10,73.3,148,0,,
Anthony Walker Jr.,LB,CLV,13,69.1,701,9,,
Matt Milano,LB,BUF,18,67,1038,97,,
Marquel Lee,LB,LV,5,50.4,35,0,,
Brian Allen,CB,CLV,1,60,1,0,,
Jordan Jenkins,ED,HST,11,49.2,282,282,,
Chuck Clark,S,BLT,16,66.2,1023,115,,
Xavier Woods,S,MIN,17,66.4,1207,31,,
Jordan Evans,LB,CIN,4,57.7,44,8,,
DeMarcus Walker,ED,HST,13,60.5,458,457,,
Tanner Vallejo,LB,ARZ,10,30.7,159,1,,
Derek Rivers,ED,HST,5,56,143,143,,
Jaleel Johnson,DI,HST,12,44.4,322,322,,
Vincent Taylor,DI,HST,1,50,25,25,,
Brandon Wilson,S,CIN,3,58.3,79,1,,
Rudy Ford,CB,JAX,15,57.7,423,31,,
Michael Dwumfour,DI,HST,3,48,67,67,,
Ron'Dell Carter,ED,HST,1,42.3,17,17,,
Adrian Colbert,S,CLV,5,44.1,161,5,,
Elijah Lee,LB,CLV,8,67.7,74,3,,
Noah Brown,WR,DAL,1,70.9,1,0,,
Ross Blacklock,DI,HST,14,50.4,457,457,,
