player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,,Team Avg
Darnell Mooney,48236,WR,CHI,15,55.2,39.6,30.1,,
Austin Hooper,10715,TE,LV,17,58.2,81.5,50.6,,
Hunter Henry,10669,TE,NE,14,69.3,74.8,55.8,,
Rashee Rice,97605,WR,KC,20,84.9,71.7,59.8,,
Josh Downs,122832,WR,IND,17,70.3,,51.3,,
,,,,,,,,,
,,,,,,,,,
Tyler Conklin,47124,TE,NYJ,17,65.6,66.6,54,,
Alec Ingold,34934,FB,MIA,18,47.1,77.2,40.2,,
Mo Alie-Cox,12078,TE,IND,17,61.4,56.7,61,,
Chris Moore,10741,WR,TEN,17,64.9,73.6,54.9,,
Michael Wilson,84423,WR,ARZ,13,68.3,68.1,62.2,,
,,,,,,,,,
,,,,,,,,,
Terry McLaurin,48229,WR,WAS,17,75.1,,57.6,,
Justin Fields,82118,QB,CHI,13,74.6,,60.4,,
Cedrick Wilson Jr.,48170,WR,MIA,16,65.3,,56.2,,
Luke Schoonmaker,84005,TE,DAL,18,49.8,58.1,59.1,,
Chigoziem Okonkwo,84000,TE,TEN,17,62.1,63.9,57.9,,
Evan Engram,11778,TE,JAX,17,71.6,61.8,54.9,,
Nick Westbrook-Ikhine,47861,WR,TEN,14,59.4,79.6,44.6,,
Justin Herbert,28237,QB,LAC,13,85.5,,60.3,,
,,,,,,,,,
Jonnu Smith,11855,TE,ATL,17,59.1,75.4,43.7,,
Brandin Cooks,8655,WR,DAL,17,68.8,,43.6,,
,,,,,,,,,
Ja'Marr Chase,84270,WR,CIN,16,85.3,,45.1,,
Trent Sherfield,48021,WR,BUF,19,51.1,65.4,38.6,,
Kenny Pickett,60515,QB,PIT,12,70.6,,60,,
Dawson Knox,35883,TE,BUF,14,54.5,79.5,51.1,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
T.J. Hockenson,40912,TE,MIN,15,78.8,65.6,56.1,,
Colby Parkinson,52266,TE,SEA,17,57.4,69.5,64.1,,
Chris Olave,84355,WR,NO,16,82.5,,55.8,,
Harrison Bryant,26394,TE,CLV,18,57,80.2,49.6,,
,,,,,,,,,
DJ Chark Jr.,47702,WR,CAR,15,60,,49.5,,
,,,,,,,,,
Tutu Atwell,77965,WR,LA,17,68.3,,64.6,,
Nico Collins,61441,WR,HST,17,91.4,,74.5,,
,,,,,,,,,
D.K. Metcalf,47864,WR,SEA,16,80,,53.3,,
Charlie Woerner,42257,TE,SF,20,63.5,38.4,77.3,,
Donovan Peoples-Jones,61439,WR,DET,18,52.7,79.4,52.3,,
,,,,,,,,,
,,,,,,,,,
Kyle Pitts,83964,TE,ATL,17,68.1,77.6,31.2,,
Aidan O'Connell,60516,QB,LV,11,65.9,61.2,60.3,,
Dalton Kincaid,91791,TE,BUF,18,68.8,44.3,55.8,,
Tyler Lockett,9502,WR,SEA,17,78.1,,58.7,,
Trey Palmer,99248,WR,TB,19,53.3,,48.3,,
Juwan Johnson,28305,TE,NO,13,58.8,46.8,40.4,,
Jahan Dotson,84375,WR,WAS,17,57.7,66.1,41.8,,
Robert Woods,7822,WR,HST,16,60.7,39.3,52,,
Julian Hill,88685,TE,MIA,16,41.8,41.2,41.6,,
,,,,,,,,,
Jameson Williams,101701,WR,DET,15,62.9,61.8,47.8,,
Cedric Tillman,84434,WR,CLV,14,55.5,76.4,56.2,,
,,,,,,,,,
K.J. Osborn,23503,WR,MIN,16,53.9,73.6,51.7,,
Will Dissly,30762,TE,SEA,16,71.3,83.5,77.2,,
,,,,,,,,,
Nelson Agholor,9453,WR,BLT,19,61.6,36.3,59.6,,
Noah Fant,42388,TE,SEA,17,62.9,72.1,59.6,,
Geoff Swaim,9679,TE,ARZ,14,50.2,66.6,47.4,,
Quentin Johnston,123085,WR,LAC,17,58.9,,52.7,,
,,,,,,,,,
,,,,,,,,,
Van Jefferson,47447,WR,ATL,17,50.1,,46.5,,
Mac Jones,60323,QB,NE,11,52.2,,60.1,,
,,,,,,,,,
Gerald Everett,11799,TE,LAC,15,65.6,67.5,51.3,,
Andrew Beck,47121,FB,HST,17,50.7,63.6,54.2,,
Jaylen Waddle,84088,WR,MIA,15,90.3,,55.1,,
Keenan Allen,7857,WR,LAC,13,86.3,77.5,39.1,,
Isaiah Hodgins,52130,WR,NYG,17,56.4,73.8,50.6,,
Isaiah Likely,83955,TE,BLT,19,65.6,40.5,51.9,,
Brenton Strange,101694,TE,JAX,14,48.6,55.8,55,,
DeVante Parker,9447,WR,NE,13,61.2,,44.4,,
Rondale Moore,62890,WR,ARZ,17,53.6,,54,,
,,,,,,,,,
Blake Bell,9550,TE,KC,21,43,46.5,57.1,,
DeAndre Hopkins,7808,WR,TEN,17,81,62.3,54.5,,
,,,,,,,,,
,,,,,,,,,
Diontae Johnson,33441,WR,PIT,14,77.9,,58,,
Tyler Boyd,10689,WR,CIN,17,59.5,66.2,30.4,,
,,,,,,,,,
Zach Wilson,82096,QB,NYJ,12,58.2,,60.2,,
Wan'Dale Robinson,101735,WR,NYG,15,65.5,,42,,
Tyreek Hill,10799,WR,MIA,17,93.4,,55.6,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Allen Lazard,48135,WR,NYJ,14,52.7,74.9,57.6,,
JuJu Smith-Schuster,11817,WR,NE,11,57,,52.1,,
,,,,,,,,,
,,,,,,,,,
Justin Watson,66915,WR,KC,20,61.7,66.3,56.7,,
Michael Gallup,26075,WR,DAL,18,63.4,,37.6,,
Will Levis,83542,QB,TEN,9,63.7,,60.8,,
Charlie Kolar,60917,TE,BLT,16,55.4,55.1,54.9,,
Andrew Ogletree,138351,TE,IND,12,66.2,80.1,63.1,,
Ryan Tannehill,7014,QB,TEN,9,68.7,60.9,60.7,,
Pat Freiermuth,84085,TE,PIT,13,65.8,77.5,54.4,,
,,,,,,,,,
Marquez Valdes-Scantling,47809,WR,KC,20,52.1,,49.5,,
,,,,,,,,,
Luke Musgrave,98499,TE,GB,13,68.1,45.7,59.3,,
Darren Waller,9637,TE,NYG,12,69.4,57.6,40.9,,
,,,,,,,,,
Jalen Tolbert,61637,WR,DAL,18,56.5,,42.2,,
,,,,,,,,,
Logan Thomas,8755,TE,WAS,16,57.1,73.9,60.2,,
,,,,,,,,,
Lil'Jordan Humphrey,42247,WR,DEN,17,60.4,46.2,65.5,,
Connor Heyward,57301,TE,PIT,18,55.5,72.1,56.2,,
Kylen Granson,40630,TE,IND,15,56.8,63.8,48.2,,
Donald Parham Jr.,91014,TE,LAC,14,59.7,78.3,45.4,,
Lynn Bowden,61361,WR,NO,15,50.3,65.6,57.8,,
Dontayvion Wicks,99711,WR,GB,17,77.8,,66.1,,
Christian Watson,66581,WR,GB,11,68.2,65.5,50,,
Jayden Reed,78171,WR,GB,18,73.3,62.4,46.1,,
Skyy Moore,97116,WR,KC,14,54.8,,53.6,,
,,,,,,,,,
Kyler Murray,38334,QB,ARZ,8,70.8,,60.2,,
KhaDarel Hodge,26104,WR,ATL,17,62.4,68.1,50.5,,
Mike Gesicki,47153,TE,NE,17,55.7,78.7,35.1,,
Christian Kirk,47546,WR,JAX,12,71.1,75.7,35.8,,
Mack Hollins,11873,WR,ATL,13,64.6,66.1,61,,
Mark Andrews,47436,TE,BLT,11,78.8,71,58.8,,
,,,,,,,,,
Demarcus Robinson,10760,WR,LA,14,70,,71.8,,
,,,,,,,,,
Ko Kieft,41372,TE,TB,18,53.9,68.2,60.9,,
Jeremy Ruckert,84029,TE,NYJ,15,57.5,36.3,55,,
,,,,,,,,,
Jerry Jeudy,61103,WR,DEN,16,67.8,,46.1,,
Jaxon Smith-Njigba,129758,WR,SEA,17,63.3,65.4,46.4,,
Tyler Scott,123578,WR,CHI,17,52.7,80.6,45.8,,
Joe Burrow,28022,QB,CIN,10,77.9,,60,,
,,,,,,,,,
,,,,,,,,,
Brevin Jordan,77887,TE,HST,15,69.9,61.9,58.2,,
Olamide Zaccheaus,44920,WR,PHI,18,51.1,,44.5,,
Tony Pollard,27126,HB,DAL,18,77.5,70.6,62.8,,
Odell Beckham Jr.,8647,WR,BLT,16,75.4,,44.8,,
Mitchell Wilcox,47234,TE,CIN,17,46.7,74,45.8,,
Jake Browning,46401,QB,CIN,9,79.3,60.9,60,,
Justin Jefferson,61398,WR,MIN,10,91.1,,56.8,,
Michael Thomas,10681,WR,NO,10,67.4,,60.4,,
Keith Smith,9302,FB,ATL,13,47.2,57.8,44.6,,
Travis Etienne Jr.,57185,HB,JAX,17,77,52.2,77,,
,,,,,,,,,
Tee Higgins,61211,WR,CIN,12,72.1,65.7,66.8,,
Joshua Palmer,62979,WR,LAC,10,67.6,,51.1,,
Deshaun Watson,11767,QB,CLV,6,67.3,,60.9,,
,,,,,,,,,
Jalin Hyatt,124282,WR,NYG,17,59.7,,67.6,,
Bailey Zappe,60396,QB,NE,10,52.2,,60.1,,
Treylon Burks,99218,WR,TEN,11,52.4,74.6,50.5,,
John Metchie III,97400,WR,HST,18,57.8,65.3,55.5,,
Trenton Irwin,48080,WR,CIN,16,57,59.1,31,,
Ben Sims,77918,TE,GB,18,60.5,68.7,58.2,,
Rashid Shaheed,63707,WR,NO,15,69,,52,,
Keith Kirkwood,48017,WR,NO,13,52.4,,46.9,,
Zay Jones,11792,WR,JAX,9,61.2,66.2,49.1,,
,,,,,,,,,
,,,,,,,,,
