player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
Sam Hubbard,48457,ED,CIN,15,61.9,713,,
Nick Scott,49012,S,CIN,17,44,569,,
Markus Bailey,49681,LB,CIN,8,60.8,29,,
B.J. Hill,49894,DI,CIN,17,67.7,776,,
Jalen Davis,50431,CB,CIN,12,51.4,53,,
Zach Carter,56349,DI,CIN,17,51.2,500,,
Cam Sample,56462,ED,CIN,17,61.6,375,,
Jay Tufele,56913,DI,CIN,10,45.5,96,,
DJ Ivey,76670,CB,CIN,5,86.8,21,,
Joseph Ossai,77205,ED,CIN,14,68.4,177,,
Travis Bell,79253,DI,CIN,2,51.9,30,,
Cam Taylor-Britt,83326,CB,CIN,12,64.5,653,,
Dax Hill,97519,S,CIN,17,50.9,1089,,
Jordan Battle,98857,S,CIN,17,82.5,524,,
DJ Turner II,101376,CB,CIN,17,51.5,827,,
Myles Murphy,122154,ED,CIN,17,56.2,304,,61.86296296
Rodney McLeod,7271,S,CLV,10,54.1,280,,
Duron Harmon,7872,S,CLV,7,60.4,222,,
Shelby Harris,8869,DI,CLV,18,70.8,462,,
Za'Darius Smith,9555,ED,CLV,17,83.1,603,,
Myles Garrett,11756,ED,CLV,17,93.9,844,,
Dalvin Tomlinson,11810,DI,CLV,17,61.2,650,,
Anthony Walker Jr.,11916,LB,CLV,12,71.1,454,,
Sione Takitaki,12666,LB,CLV,16,70.7,608,,
Sam Kamara,24176,ED,CLV,2,66,79,,
Matthew Adams,38526,LB,CLV,10,44.2,96,,
Jordan Kunaszyk,38548,LB,CLV,4,62.1,60,,
Maurice Hurst,38563,DI,CLV,13,81,302,,
Denzel Ward,49558,CB,CLV,14,69.4,657,,
Ogbo Okoronkwo,50130,ED,CLV,15,65.3,459,,
Juan Thornhill,50426,S,CLV,12,66.5,643,,
Mike Ford,50535,CB,CLV,12,56.8,159,,
Jordan Elliott,56734,DI,CLV,18,47.3,466,,
Tony Fields II,57698,LB,CLV,17,50.6,253,,
Jeremiah Owusu-Koramoah,58089,LB,CLV,17,76.8,802,,
Grant Delpit,60685,S,CLV,13,70,738,,
Tanner McCalister,76591,CB,CLV,1,59.3,19,,
Kahlef Hailassie,83072,CB,CLV,7,67.2,104,,
Vincent Gray,83297,CB,CLV,1,73.5,44,,
Greg Newsome II,83341,CB,CLV,15,66,795,,
Cameron Mitchell,97340,CB,CLV,14,58.6,283,,
Ronnie Hickman Jr.,97702,S,CLV,11,74.1,322,,
Martin Emerson Jr.,97872,CB,CLV,17,63.2,897,,
Alex Wright,98318,ED,CLV,17,55.6,407,,66.31923077
Siaki Ika,98328,DI,CLV,5,29,103,,
Mohamoud Diabate,98780,LB,CLV,6,70.3,26,,
Isaiah McGuire,98948,ED,CLV,4,46.9,93,,
D'Anthony Bell,111578,S,CLV,13,76.3,256,,
Stephon Gilmore,7016,CB,DAL,18,71.2,1055,,
Johnathan Hankins,7830,DI,DAL,15,53.6,387,,
DeMarcus Lawrence,8669,ED,DAL,18,91,647,,
C.J. Goodwin,9243,CB,DAL,2,69.2,17,,
Dante Fowler Jr.,9436,ED,DAL,18,63.8,275,,
Carl Davis Jr.,9523,DI,DAL,3,42.4,30,,
Jayron Kearse,10878,S,DAL,17,44.9,860,,
Malik Hooker,11770,S,DAL,17,77.2,862,,
Jourdan Lewis,11846,CB,DAL,17,50.1,771,,
Neville Gallimore,28094,DI,DAL,18,59.5,304,,
Trevon Diggs,41817,CB,DAL,2,80.7,101,,
Chauncey Golston,42718,DI,DAL,18,66.1,322,,
Osa Odighizuwa,42754,DI,DAL,18,77,676,,
KaVontae Turpin,47658,WR,DAL,3,75.2,3,,
Dorance Armstrong,48557,ED,DAL,18,69.6,468,,
Donovan Wilson,49408,S,DAL,16,66.2,776,,
Rashaan Evans,50213,LB,DAL,7,45.8,72,,
Sheldrick Redwine,50458,S,DAL,1,50.5,7,,
Malik Jefferson,50884,LB,DAL,1,44.1,6,,
Leighton Vander Esch,50950,LB,DAL,5,65.5,269,,
Markquese Bell,56033,LB,DAL,18,76.8,701,,
DaRon Bland,56158,CB,DAL,18,89.5,1020,,
Buddy Johnson,58189,LB,DAL,1,67.4,2,,
Peyton Hendershot,60915,TE,DAL,2,51.2,2,,
Noah Igbinoghene,61155,CB,DAL,2,31.9,25,,
Jalen Tolbert,61637,WR,DAL,2,34,2,,
Princeton Fant,62982,TE,DAL,1,60,1,,
Juanyeh Thomas,76655,S,DAL,14,81.1,192,,
Damone Clark,81282,LB,DAL,18,62.7,834,,
Micah Parsons,81360,ED,DAL,18,92.4,910,,
Israel Mukuamu,83377,S,DAL,10,76.3,77,,
Hunter Luepke,91319,FB,DAL,1,60,1,,
