player,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,Average Grade
Bryan Edwards,WR,LV,17,62.9,66.2,62.5,279,,
Zay Jones,WR,LV,18,70.6,,59.9,230,,
Darren Waller,TE,LV,12,69.7,74.2,45.1,216,,
Trey Hill,C,CIN,7,53.3,65.3,54.5,210,,
Hunter Renfrow,WR,LV,18,78.8,,38.1,191,,
DeSean Jackson,WR,LV,17,69.3,,58.2,97,,
Josh Jacobs,HB,LV,16,79.5,75.3,47.8,87,,
Kenyan Drake,HB,LV,12,73.1,51.4,39.8,37,,
Tyron Johnson,WR,LV,10,46.9,,52.4,36,,
Robert Woods,WR,LA,9,75.7,72.6,84.9,202,,
Jalen Richard,HB,LV,11,65.3,62.8,60,18,,
A.J. Cann,G,JAX,4,47.7,32.6,53.7,198,,
Robert Hunt,G,MIA,17,67.4,68.3,65.6,1153,,
Liam Eichenberg,T,MIA,17,50.8,46.9,57.9,1108,,
Austin Jackson,G,MIA,16,49.9,49.1,54.8,1096,,
Jesse Davis,T,MIA,17,52.5,51.1,51.4,1063,,55.15
Durham Smythe,TE,MIA,17,59.5,65,50.7,412,,
Tua Tagovailoa,QB,MIA,13,68.3,,61.8,292,,
Jaylen Waddle,WR,MIA,16,78.3,,63,280,,
Mike Gesicki,TE,MIA,17,68.7,36.6,46.1,245,,
Adam Shaheen,TE,MIA,12,59.3,63.8,64.9,207,,
DeVante Parker,WR,MIA,10,72.8,,52,169,,
Albert Wilson,WR,MIA,14,59.3,,68.9,119,,
Mack Hollins,WR,MIA,17,58.1,67.1,63.4,111,,
Jacoby Brissett,QB,MIA,11,76.3,,60.5,92,,
Myles Gaskin,HB,MIA,17,64.8,50.5,41.7,87,,
Tyler Larsen,C,WAS,5,65.7,72.7,64.7,185,,
Greg Mancz,C,MIA,4,61.9,62.7,59.6,185,,
Isaiah Ford,WR,MIA,13,69.4,,38,52,,
Cethan Carter,TE,MIA,10,65.6,77,47.8,37,,
Salvon Ahmed,HB,MIA,12,56.6,43.3,37.5,26,,
Phillip Lindsay,HB,MIA,14,53.9,36.5,44.5,22,,
Brian O'Neill,T,MIN,17,73.4,77.5,66.1,1140,,
Ezra Cleveland,G,MIN,17,68.6,55.5,71.9,1140,,
Olisaemeka Udoh,G,MIN,16,54.4,39,62.3,1075,,
Garrett Bradbury,C,MIN,13,60.2,43.7,67,883,,
Christian Darrisaw,T,MIN,11,71.9,63.1,77.3,652,,
Calvin Anderson,T,DEN,5,72.5,79.5,62.5,172,,
Kirk Cousins,QB,MIN,16,88.2,,60,422,,
Trey Pipkins III,T,LAC,8,68.5,78.4,63.7,171,,
Tyler Conklin,TE,MIN,17,66.7,58.5,54.7,418,,
Justin Jefferson,WR,MIN,17,90.1,,64,348,,
Adam Thielen,WR,MIN,13,74.6,,68.1,283,,
C.J. Ham,FB,MIN,17,69.9,65.6,61.2,274,,
Isaac Seumalo,G,PHI,3,74.8,82.9,75.5,168,,
Tyler Kroft,TE,NYJ,9,57.6,59.5,61.1,168,,
K.J. Osborn,WR,MIN,17,64.9,67.6,52.6,238,,
Luke Stocker,TE,MIN,12,46,44.2,57.7,128,,
Chris Herndon,TE,MIN,16,52.6,75,63,87,,
Dalvin Cook,HB,MIN,13,65.8,52.7,60.4,65,,
Jamarco Jones,G,SEA,6,56.9,54.6,60.3,163,,
