player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,
Cody Ford,39805,G,ARZ,8,41.2,46,39,350,,
Tyler Conklin,47124,TE,NYJ,17,58.6,37.6,51.1,349,,
Marcus Mariota,9435,QB,ATL,13,66.3,,60,345,,
Allen Lazard,48135,WR,GB,15,69,69.8,39,345,,
Adam Thielen,8288,WR,MIN,18,65.5,65,45.3,341,,
Max Mitchell,81707,T,NYJ,6,55.5,53.8,52.7,340,,
Oday Aboushi,7923,G,LA,6,65.2,60,65.9,339,,
Pat Elflein,11825,C,CAR,6,60.9,64.4,57.3,338,,
Tre' McKitty,60896,TE,LAC,18,32.2,48.7,37.7,338,,
Parris Campbell,47940,WR,IND,17,60.8,,50.2,337,,
Nick Westbrook-Ikhine,47861,WR,TEN,17,59.8,38.3,69.5,335,,
Gabe Davis,55410,WR,BUF,17,66.4,,57.9,335,,
Will Clapp,39386,C,LAC,9,54.3,73.4,42.3,333,,
Josh Andrews,9068,C,NO,6,51.6,53.8,51.9,330,,
Marcedes Lewis,2973,TE,GB,17,65.6,72.9,66.6,329,,
Josh Wells,8968,T,TB,11,66.5,66.4,66.7,326,,65.70178571
Josh Allen,46601,QB,BUF,18,91.8,,60,326,,
Garett Bolles,11775,T,DEN,5,72.9,77.8,76.9,325,,
Joe Noteboom,46249,T,LA,6,67,60.1,71.8,325,,
Cade Otton,61071,TE,TB,17,58.2,79.3,59.6,324,,
Mitchell Wilcox,47234,TE,CIN,19,55.7,72.1,60.1,322,,
Russell Wilson,7077,QB,DEN,15,66.2,,60,321,,
Travis Kelce,7844,TE,KC,20,91.3,73.1,61.2,320,,
Robert Woods,7822,WR,TEN,17,68,,76.4,319,,
Michael Gallup,26075,WR,DAL,16,62.6,,58.7,318,,
Bobby Evans,36800,G,LA,9,29.8,16.4,45.4,314,,
Amon-Ra St. Brown,84470,WR,DET,16,90.7,64.9,77.1,314,,
Daniel Bellinger,84041,TE,NYG,14,60.2,53,63.3,314,,
Jacoby Brissett,10725,QB,CLV,16,82.6,60.9,60.4,312,,
Quez Watkins,61664,WR,PHI,20,52.7,66.2,41.9,310,,
Johnny Mundt,12206,TE,MIN,18,53.9,56.4,50.7,307,,
Courtland Sutton,48164,WR,DEN,15,69.3,,61.3,305,,
Eric Tomlinson,9786,TE,DEN,17,58.2,58.6,61.5,305,,
Darius Slayton,25578,WR,NYG,18,66,67.3,49,304,,
Rodney Hudson,6207,C,ARZ,4,58.3,66.9,52.6,303,,
Terrace Marshall Jr.,84271,WR,CAR,14,67.7,,64.5,303,,
C.J. Uzomah,9590,TE,NYJ,15,62.3,53.1,62.7,299,,
Will Dissly,30762,TE,SEA,15,70.8,65.6,64.4,299,,
Mo Alie-Cox,12078,TE,IND,17,48.2,65.7,49.3,299,,
Kenny Pickett,60515,QB,PIT,13,75.5,,60.3,297,,
Noah Fant,42388,TE,SEA,18,64.5,54.9,50.7,297,,
Logan Thomas,8755,TE,WAS,14,52,34.1,37,297,,
Aaron Brewer,46014,G,TEN,17,59.9,45.4,63.3,1031,,
Darnell Mooney,48236,WR,CHI,12,69.2,68.2,62.1,295,,
D.K. Metcalf,47864,WR,SEA,18,77.7,,57.3,294,,
Taylor Heinicke,9896,QB,WAS,9,49.8,,60.3,294,,
Harrison Bryant,26394,TE,CLV,17,59.3,76.8,62.1,293,,
Ben Bartch,84236,G,JAX,5,60.5,66,58.6,293,,
Dennis Daley,60063,T,TEN,17,46.1,45.5,46.5,942,,
Matt Ryan,4317,QB,IND,12,63.8,,60.3,292,,
Saahdiq Charles,59820,G,WAS,6,43.6,29.7,51.3,290,,
Joshua Ezeudu,77355,G,NYG,9,46,45.9,53.1,290,,
Ja'Marr Chase,84270,WR,CIN,15,83.9,,56.3,286,,
Cedric Ogbuehi,9454,T,NYJ,7,47.7,57,41.8,286,,
Nicholas Petit-Frere,82003,T,TEN,16,52.3,50,57,937,,
Andy Dalton,6187,QB,NO,14,82.1,,63.6,282,,
Nate Davis,46808,G,TEN,12,70.6,66.8,69.8,682,,
Foster Sarell,52272,T,LAC,7,41.7,52.3,30.9,280,,
Deebo Samuel,48274,WR,SF,16,74.1,78.7,45.3,279,,
Mac Jones,60323,QB,NE,14,67.5,,60.1,278,,
Pat Freiermuth,84085,TE,PIT,16,75.5,72.3,59.6,278,,
Joshua Palmer,62979,WR,LAC,17,64.6,64.9,39.5,277,,
Ben Skowronek,27948,WR,LA,14,57.2,78.7,54.6,277,,
Blake Brandel,46282,T,MIN,7,55.3,55,61.2,275,,
Davis Mills,52269,QB,HST,15,61.9,70.7,60.6,274,,
Mike Evans,8642,WR,TB,16,74.2,,36.4,274,,
Demarcus Robinson,10760,WR,BLT,18,65.4,,63.8,273,,
Chris Godwin,11839,WR,TB,16,75.7,73.9,59,271,,
Lucas Patrick,11435,G,CHI,7,55.9,30.8,62.5,269,,
Ben Jones,7099,C,TEN,12,71.9,68.4,73.7,682,,
James Ferentz,9258,C,NE,8,53.4,74.5,43.8,268,,
Colby Gossett,46673,G,ATL,8,55.3,44.4,59.6,267,,
Curtis Samuel,11795,WR,WAS,17,70.5,69.2,56.6,266,,
Ryan Tannehill,7014,QB,TEN,12,74.9,,61.1,265,,
Juwan Johnson,28305,TE,NO,16,64.7,65.6,54.1,265,,
Alec Ingold,34934,FB,MIA,18,58.3,67.4,57.5,265,,
Garrett Wilson,97405,WR,NYJ,17,82.7,35.6,50.9,265,,
Justin Pugh,7800,G,ARZ,5,61,52.5,62.4,263,,
Trey McBride,75916,TE,ARZ,16,50.9,81.2,46.3,263,,
George Pickens,99229,WR,PIT,17,68.8,,48.3,260,,
Marquise Brown,61568,WR,ARZ,12,69.2,,53.2,258,,
Stefon Diggs,9579,WR,BUF,18,89.1,,60.7,254,,
JuJu Smith-Schuster,11817,WR,KC,19,70.1,71.3,41,253,,
Equanimeous St. Brown,47967,WR,CHI,16,64.2,80.5,69.8,252,,
Corey Levin,11972,C,TEN,9,68.3,81.6,64.6,251,,
Tommy Tremble,84025,TE,CAR,17,49.5,81,56.3,249,,
Tyler Lockett,9502,WR,SEA,17,77.9,65.3,62.5,247,,
Colby Parkinson,52266,TE,SEA,18,68.1,71.3,65.3,247,,
Jahan Dotson,84375,WR,WAS,12,70.5,,36.3,246,,
Devin Duvernay,40006,WR,BLT,14,67.2,,54.3,245,,
Jimmy Garoppolo,8697,QB,SF,11,71.4,,60,243,,
K.J. Osborn,23503,WR,MIN,18,65.2,71.5,53.8,242,,
Jonnu Smith,11855,TE,NE,14,52.9,71.2,32.4,240,,
Dennis Kelly,7146,T,IND,4,58.9,52.9,64.2,240,,
Brock Purdy,77672,QB,SF,12,77.7,,60,238,,
Tee Higgins,61211,WR,CIN,19,78.4,22.3,51.9,237,,
Tyreek Hill,10799,WR,MIA,18,92.1,,72.7,237,,
MyCole Pruitt,9576,TE,ATL,13,75.9,75.8,62.2,237,,
Lamar Jackson,46416,QB,BLT,12,85.2,,60.1,236,,
Austin Schlottmann,30097,C,MIN,6,48.7,46.1,55.3,236,,
Jaylen Waddle,84088,WR,MIA,18,82.6,65.7,46.6,236,,
Jakob Johnson,32565,FB,LV,17,50.1,77.3,52.2,235,,
Jakobi Meyers,47468,WR,NE,14,75.6,,59.9,234,,
Brandon Walton,41533,T,TB,6,57.9,65.3,57.2,234,,
Tua Tagovailoa,60326,QB,MIA,13,81.9,,60.2,233,,
Jerry Jeudy,61103,WR,DEN,15,78.4,,62.9,232,,
David Edwards,35941,G,LA,4,58.2,27.8,75.6,230,,
Tyler Boyd,10689,WR,CIN,19,70.2,54.6,47.2,230,,
Max Scharping,46961,G,CIN,6,43.4,37.4,48.5,228,,
Chandler Brewer,13976,G,LA,4,55.6,61.7,54.2,228,,
Logan Stenberg,37181,G,DET,4,39.3,15,57.2,228,,
Sean Harlow,11891,C,ARZ,6,43.2,28.6,48.8,228,,
Marvin Jones Jr.,7158,WR,JAX,18,59.8,67.4,51.1,227,,
Gerald Everett,11799,TE,LAC,17,70.6,76.5,48.2,224,,
Chris Myarick,47358,TE,NYG,15,63.2,44.9,65.1,224,,
Baker Mayfield,46518,QB,LA,12,50.6,,60.2,223,,
Josh Reynolds,11872,WR,DET,14,64.1,70,56.4,222,,
